;5 iteraciones;10 iteraciones;20 iteraciones;30 iteraciones;50 iteraciones;100 iteraciones;150 iteraciones;200 iteraciones;300 iteraciones;500 iteraciones
4;0.0279208;0.0345786;0.0366352;0.0478659;0.0499255;0.0500216;0.0514323;0.0503622;0.0511241;0.0515407
5;0.0395425;0.0422973;0.0413019;0.0474616;0.0467329;0.0456251;0.0458359;0.0463526;0.0458369;0.0463620
6;0.0260429;0.0300471;0.0376322;0.0422236;0.0448238;0.0452713;0.0470894;0.0465594;0.0464116;0.0467837
7;0.0140059;0.0233136;0.0363865;0.0399465;0.0465587;0.0472551;0.0484823;0.0466454;0.0480051;0.0483420
8;0.0320129;0.0372410;0.0367987;0.0402052;0.0468936;0.0451517;0.0492505;0.0470061;0.0484542;0.0477059
9;0.0466860;0.0487297;0.0444292;0.0438111;0.0485267;0.0463071;0.0472005;0.0486347;0.0476896;0.0484222
